COEFICIENTE 1,COEFICIENTE 2,COEFICIENTE 3,COEFICIENTE 4,COEFICIENTE 5,COEFICIENTE 6,COEFICIENTE 7,ARI
0.9222311974,-0.06494846495,-0.01906128205,0.06434187457,-0.1792366283,0.07563708063,-0.1382769939,0
0.8366094528,0.1534117635,-0.1133184811,0.09019712531,0.003148419669,-0.06900287424,0.09456624578,0
0.9354547506,0.02602480952,-0.1182184733,0.1029481085,-0.2474032809,0.1701832055,-0.159050974,0
0.8533444682,0.3273383144,-0.2630517452,0.02247458502,0.2079514668,-0.4027445376,0.2070743943,0
1.194044969,-0.2891954992,0.380592044,-0.2280244073,0.1742396679,-0.1482863391,0.1110123176,0
0.706378076,0.4360501309,-0.4399019698,0.2635595991,-0.1707076577,-0.001350869701,-0.1184415286,0
0.8815116511,0.2452186532,-0.3130467187,0.07475494524,-0.1554524099,0.1140884115,-0.05958577656,0
1.011248411,-0.108867385,0.08002059555,-0.07047082489,-0.004221247289,-0.03673707735,-0.02604730217,0
0.9660835301,0.02294911036,-0.03744065207,-0.05803947264,0.06699071549,-0.05647678432,-0.09277040064,0
1.02996908,-0.0159008591,0.04750239225,-0.01317241696,-0.0599816426,0.0823106927,-0.1216535171,0
0.8760582814,0.07506998761,0.07692561447,-0.1152708832,0.09242354676,-0.1327702581,-0.04512928315,0
1.186807615,-0.1877060142,0.324671865,-0.1482516318,0.1479496954,-0.01307368016,0.006725879229,0
0.9852794299,0.08276557292,0.002040166399,-0.03190568185,0.02732806002,-0.09618852825,0.009877607045,0
1.071260806,-0.1054771878,0.03809469411,0.06046729665,-0.1945023138,0.2421332766,-0.1408022905,0
0.8362679811,0.198018659,-0.2450868531,0.1046216986,0.05725976952,-0.09972836067,0.1011562474,0
0.9109851227,-0.08199585764,-0.02235114032,0.02506655973,-0.1383607958,0.03749080992,-0.1246174482,0
1.058278385,-0.2181520581,0.08067852345,-0.1265229809,0.07436358171,-0.01186984065,-0.1359735142,0
0.7467702505,0.01862882374,-0.1118631493,0.03253730725,-0.196221068,0.1875590067,-0.2808416342,0
0.8276341309,0.226619139,-0.2178936628,0.05836335273,0.1115146177,-0.185736735,0.1341221844,0
0.8612414085,0.07159084429,0.02174068554,-0.06334760259,0.04637475415,-0.07384501642,0.05101018602,0
0.8911438333,0.1053389774,-0.1057814308,-0.05540558594,-0.01425398879,-0.01792585904,0.009244533737,0
1.10224608,-0.0178018922,0.03944975235,-0.03950772556,0.1080550036,-0.07503055529,0.06486385807,0
0.7374904917,0.1272697254,-0.1416327238,-0.09226495791,-0.04083994497,-0.05403180957,-0.03996658369,0
1.096383501,-0.07897650704,0.161137866,-0.1818613184,0.2276912031,-0.1667865187,0.1302100269,0
